id,dealer_id,type,debit,credit,description,date,created_at,restock_id,payment_type,payment_proof,return_id
7242,7,Payment,0,66240,"Fareed Boltan k 200000 aye thy us mn sy payment di",2026-03-10,"2026-03-10 15:13:51",,Cash,,
69b03337c4bd9,7,"Purchase (Edited)",11760,0,"Edited Restock: Color Brush small (Qty: 98)",2026-03-10,"2026-03-10 20:05:27",436,,,
7243,7,Purchase,240,0,"Initial: Color Brush small pcs",2026-03-10,"2026-03-10 20:06:42",437,,,
69b0621b7ff66,20,"Purchase (Edited)",61200,0,"Edited Restock: Kashee Facial kit (Qty: 36)",2026-03-06,"2026-03-10 23:25:31",418,,,
7244,20,Purchase,43000,0,"Initial: Blade Silk Danda pc",2026-03-04,"2026-03-10 23:45:42",438,,,
7245,20,Purchase,15600,0,"Restock: Shahzad Disposable Razer (Qty: 40)",2026-03-10,"2026-03-11 14:06:33",439,,,
7246,20,Purchase,3200,0,"Restock: Trimer Machine Dingling RF-1982 (Qty: 1)",2026-03-10,"2026-03-11 14:07:06",440,,,
7247,20,Purchase,34300,0,"Restock: Trimer Machine Dingling RF-609 pro (Qty: 14)",2026-03-10,"2026-03-11 14:07:41",441,,,
7248,20,Purchase,7680,0,"Initial: Kashee Facial pcs",2026-03-10,"2026-03-11 14:10:45",442,,,
7249,20,Purchase,3600,0,"Restock: Trimer Machine VGR V-353 (Qty: 3)",2026-03-10,"2026-03-11 14:11:21",443,,,
7250,20,Purchase,1650,0,"Restock: Gosny Apple kit (Qty: 1)",2026-03-10,"2026-03-11 14:12:07",444,,,
7251,20,Purchase,39500,0,"Restock: Disposible chadar (Qty: 50)",2026-03-10,"2026-03-11 14:13:06",445,,,
7252,20,Purchase,15600,0,"Restock: Alisha Facial kit Original (Qty: 48)",2026-03-10,"2026-03-11 14:14:15",446,,,
7253,20,Purchase,81600,0,"Restock: Kashee Facial kit (Qty: 48)",2026-03-10,"2026-03-11 14:14:56",447,,,
7254,20,Purchase,9600,0,"Restock: Pari Hair remove brush (Qty: 12)",2026-03-10,"2026-03-11 14:15:46",448,,,
7255,20,Purchase,36499.2,36499.2,"Restock: Apple China Original 1 kg (Qty: 24)",2026-03-10,"2026-03-11 14:17:12",449,,,
7256,20,Purchase,22999.2,22999.2,"Restock: Jolly Shaving cream (Qty: 168)",2026-03-10,"2026-03-11 14:18:48",450,,,
7257,20,Purchase,13920,0,"Restock: Wajeeh Hair color tube (Qty: 240)",2026-03-10,"2026-03-11 14:19:30",451,,,
7258,20,Purchase,9600,0,"Restock: King Star Foam (Qty: 48)",2026-03-10,"2026-03-11 14:20:10",452,,,
7259,20,Purchase,14499.6,0,"Restock: Safex Platinium Razer (Qty: 12)",2026-03-10,"2026-03-11 14:20:50",453,,,
7260,20,Purchase,16000,0,"Restock: Trimer Machine Dingling D-071 (Qty: 10)",2026-03-10,"2026-03-11 14:21:21",454,,,
7261,20,Purchase,17000,0,"Restock: Trimer Machine Dingling D-290 (Qty: 10)",2026-03-10,"2026-03-11 14:21:48",455,,,
7262,20,Purchase,13200,0,"Restock: Finix Foam (Qty: 48)",2026-03-10,"2026-03-11 14:22:30",456,,,
7263,20,Purchase,10320,0,"Restock: Mormy Shaving Foam (Qty: 48)",2026-03-10,"2026-03-11 14:23:09",457,,,
69b16aea0f010,20,"Purchase (Edited)",45125,0,"Edited Restock: Blade OK (Qty: 19)",2026-02-21,"2026-03-11 18:15:22",265,,,
7264,20,Purchase,2370,0,"Restock: Blade Ok pcs (Qty: 10)",2026-02-21,"2026-03-11 18:16:13",458,,,
69b16e285853b,7,"Purchase (Edited)",44370,0,"Edited Restock: Armetic Hair remove brush (Qty: 51)",2026-03-10,"2026-03-11 18:29:12",434,,,
7265,7,Purchase,864,0,"Initial: Armatic brush pcs",2026-03-10,"2026-03-11 18:30:45",459,,,
69b2939b085a6,20,"Purchase (Edited)",2400,0,"Edited Restock: Powder Shopper (Qty: 120)",2026-01-24,"2026-03-12 15:21:15",57,,,
69b293bba0fdf,23,"Purchase (Edited)",18000,0,"Edited Restock: Powder Shopper (Qty: 1000)",2026-02-05,"2026-03-12 15:21:47",134,,,
69b2a84ac556a,20,"Purchase (Edited)",6000,6000,"Edited Restock: Scissors Normal (Qty: 48)",2026-01-24,"2026-03-12 16:49:30",63,,,
69b2a85fccbf4,20,"Purchase (Edited)",55080,55080,"Edited Restock: Scissors Special (Qty: 324)",2026-01-24,"2026-03-12 16:49:51",62,,,
7266,1,Purchase,137808,137808,"Restock: Pretty cream (Qty: 1584)",2026-03-12,"2026-03-12 17:51:56",460,,,
69b2f3f7e5adb,20,"Purchase (Edited)",10560,7680,"Edited Restock: Alisha Black Mask local (Qty: 66)",2026-01-24,"2026-03-12 22:12:23",31,,,
